News organization,API home page,APIs,Note
American Broadcasting Company,ABC Resources API,Resources API,"Resources API retrieves content produced by ABC businesses, including national and local news, entertainment videos, and more."
Associated Press,AP Content API,AP Content API,"AP Content API allows the search and download of AP Images, one of the world's largest collections of historical and contemporary imagery."
,,AP Breaking News API,AP Breaking News API retrieve a list of available breaking news categories and then requests content for a specific category.
,,,Headlines and images only. Does not provide full text of articles.
BBC,BBC Platform API [ Currently available only to BBC employees ],Platform API,"""Platform API power all the BBC's product areas - iPlayer, News, Sport, Weather, Children's Knowledge and Learning - as well as many external and partner products such as Youview.""[1]"
Bloomberg News,Bloomberg API,Bloomberg API,Bloomberg API provides unrestricted access to raw data for customers for its financial market information.
CBS Sports,CBS Sports Development Center [No longer available],Fantasy Live Scoring API,Fantasy Scoring API retrieves live scoring data for league.
,,Rules API,Rules API retrieves rules for a fantasy league.
,,Player Search API,Player Search API retrieves a list of players.
,,Player Profile API,Player Profile API retrieves a player's profile.
,,League Roster API,League Roster API retrieves roster for one team or all teams.
,,Schedule API,Schedule API retrieves schedule and match information.
,,Salary and Wild Cards API,Salary and Wild Cards API retrieve wildcard values for a set of players.
,,Playoff Settings API,Playoff Settings API retrieves playoff settings for a league.
,,Playoff Bracket API,Playoff Bracket API retrieves a league's playoff bracket.
Die Zeit,ZEIT ONLINE Content API,Online Content API,Online content API provides access to articles from the ZEIT archive dating back to 1946 and from ZEIT ONLINE.
Dow Jones and Company,Dow Jones Factiva,Enterprise Integration API,""" Share content via enterprise integration API and embeddable widgets while honoring copyright holders."""
ESPN,"ESPN API NOTE: No new authorized access granted, as of Jan. 2015 [No longer available]",Athlete API,"Athlete API retrieves rosters of players for various sports, as well as biographical and statistical data for individual athletes."
,,Audio API,Audio API retrieves ESPN on-demand audio content. This includes ESPN podcasts as well as clips from many live shows on ESPN Radio.
,,Draft API,Draft API retrieves information about NBA and NFL draft picks.
,,Headlines API,Headlines API retrieves ESPN's various news stories.
,,Leaders API,Leaders API retrieves information on leading athletes in specific statistics categories.
,,Medals API,Medals API provides medal and event result information from the Summer and Winter Olympic Games.
,,Now API,"Now API provides a stream of the latest content published on ESPN.com, including headline news, stories, columns, blogs, videos, podcasts, game recaps, and more."
,,Photos API,Photos API allows interaction with ESPN's photo content.
,,Rankings API,"Rankings API provides rankings of teams and players for various sports, as well as recruiting rankings."
,,Research Notes API,Research Notes API retrieves information from ESPN's vast knowledgebase of exclusive sports data.
,,Scores & Schedules API,"Scores & Schedules API provides game/match information, including start times, venue, competitors, score, and stats across every major sport."
,,Standings API,"Standings API retrieves latest standings for a particular sport by division, conference, or overall."
,,Teams API,"Teams API provides information on roster, stats, and more, for individual teams."
,,Video API,"Video API allows interaction with ESPN's video-on-demand content, which includes hundreds of video clips each week."
